id,generator,pdb_path,internal_cavity_count,total_internal_cavity_volume,max_internal_cavity_volume,mean_internal_cavity_volume,max_internal_cavity_depth,mean_internal_cavity_depth,internal_cavity_area_total,volume_per_residue,interface_cavity_volume,interface_cavity_count,external_cavity_count,external_cavity_volume_total,all_cavity_count,extraction_status,error
ADI-45395,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45395.pdb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,182.51,6.0,SUCCESS,
ADI-45402,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45402.pdb,2.0,250.13,231.77,125.065,6.26,1.165,255.81,1.0554008438818565,231.77,1.0,6.0,85.97,8.0,SUCCESS,
ADI-45404,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45404.pdb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,148.18,7.0,SUCCESS,
ADI-45407,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45407.pdb,2.0,158.54000000000002,113.4,79.27000000000001,2.81,0.71,146.78,0.6746382978723405,158.54000000000002,2.0,10.0,244.5,12.0,SUCCESS,
ADI-45408,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45408.pdb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,156.6,6.0,SUCCESS,
ADI-45405,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45405.pdb,2.0,125.71,79.49,62.855,3.0,0.95,153.14999999999998,0.5441991341991341,125.71,2.0,5.0,221.83,7.0,SUCCESS,
ADI-45406,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45406.pdb,4.0,260.93,134.57,65.2325,6.46,1.3824999999999998,322.62,1.1394323144104803,134.57,1.0,7.0,130.03,11.0,SUCCESS,
ADI-45409,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45409.pdb,3.0,308.02,153.79,102.67333333333332,6.15,1.26,312.18,1.3163247863247862,238.68,2.0,5.0,69.33,8.0,SUCCESS,
ADI-45410,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45410.pdb,2.0,384.69,347.54,192.345,12.5,3.45,369.4,1.6369787234042552,347.54,1.0,5.0,46.22,7.0,SUCCESS,
ADI-45411,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45411.pdb,1.0,28.51,28.51,28.51,2.4,0.77,40.95,0.1255947136563876,0.0,0.0,9.0,142.34,10.0,SUCCESS,
ADI-45422,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45422.pdb,1.0,66.96,66.96,66.96,6.52,2.83,98.41,0.2898701298701298,0.0,0.0,7.0,149.69,8.0,SUCCESS,
ADI-45425,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45425.pdb,2.0,495.93,351.86,247.965,6.03,1.425,421.38,2.09253164556962,495.93,2.0,5.0,57.88,7.0,SUCCESS,
ADI-45428,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45428.pdb,1.0,156.17,156.17,156.17,3.0,0.87,121.44,0.6507083333333333,156.17,1.0,10.0,202.6,11.0,SUCCESS,
ADI-45433,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45433.pdb,2.0,311.91,260.93,155.955,7.25,2.02,299.86,1.332948717948718,50.98,1.0,5.0,56.81,7.0,SUCCESS,
ADI-45429,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45429.pdb,2.0,360.93,225.07,180.465,4.84,0.93,296.28,1.5557327586206895,360.93,2.0,2.0,36.29,4.0,SUCCESS,
ADI-45438,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45438.pdb,1.0,318.17,318.17,318.17,7.45,2.73,243.09,1.3773593073593071,318.17,1.0,7.0,195.49,8.0,SUCCESS,
ADI-45430,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45430.pdb,1.0,30.24,30.24,30.24,2.4,0.68,43.51,0.1292307692307692,30.24,1.0,5.0,90.07000000000001,6.0,SUCCESS,
ADI-45435,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45435.pdb,1.0,18.79,18.79,18.79,2.16,0.73,29.2,0.0786192468619246,18.79,1.0,7.0,82.51,8.0,SUCCESS,
ADI-45439,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45439.pdb,2.0,63.5,32.18,31.75,2.4,0.69,95.77,0.2785087719298245,63.5,2.0,11.0,119.01,13.0,SUCCESS,
ADI-45442,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45442.pdb,1.0,52.49,52.49,52.49,3.0,0.75,67.17,0.2282173913043478,52.49,1.0,9.0,148.38,10.0,SUCCESS,
ADI-45440,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45440.pdb,3.0,252.29,156.6,84.09666666666665,3.39,1.0033333333333334,304.24,1.0969130434782608,252.29,3.0,3.0,33.91,6.0,SUCCESS,
ADI-45447,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45447.pdb,1.0,77.33,77.33,77.33,2.4,0.62,74.21,0.3376855895196506,77.33,1.0,8.0,106.05,9.0,SUCCESS,
ADI-45448,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45448.pdb,3.0,104.97,52.49,34.99,2.47,0.7333333333333334,157.43,0.4544155844155844,82.51,2.0,7.0,72.57000000000001,10.0,SUCCESS,
ADI-45451,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45451.pdb,4.0,300.23,141.91,75.0575,3.65,1.22,332.05,1.256192468619247,275.61,3.0,6.0,76.03,10.0,SUCCESS,
ADI-45450,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45450.pdb,3.0,264.81,110.16,88.27,3.23,0.7399999999999999,300.23,1.161447368421053,264.81,3.0,7.0,97.41,10.0,SUCCESS,
ADI-45455,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45455.pdb,1.0,120.53,120.53,120.53,3.65,1.28,104.35,0.5195258620689656,120.53,1.0,6.0,106.49,7.0,SUCCESS,
ADI-45454,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45454.pdb,1.0,263.74,263.74,263.74,9.84,4.09,264.68,1.1222978723404256,263.74,1.0,8.0,84.67999999999999,9.0,SUCCESS,
ADI-45452,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45452.pdb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,66.75,5.0,SUCCESS,
ADI-45456,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45456.pdb,2.0,120.74,73.87,60.370000000000005,3.7,1.13,138.81,0.5249565217391304,73.87,1.0,3.0,119.45,5.0,SUCCESS,
ADI-45453,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45453.pdb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,143.42,7.0,SUCCESS,
ADI-45459,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45459.pdb,1.0,55.51,55.51,55.51,2.16,0.6,71.04,0.2434649122807017,55.51,1.0,5.0,141.05,6.0,SUCCESS,
ADI-45463,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45463.pdb,1.0,112.32,112.32,112.32,3.79,1.06,102.59,0.4862337662337662,112.32,1.0,5.0,117.72,6.0,SUCCESS,
ADI-45460,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45460.pdb,3.0,270.87,139.54,90.29,5.53,1.1766666666666667,276.55,1.1625321888412017,234.15,2.0,4.0,28.73,7.0,SUCCESS,
ADI-45464,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45464.pdb,1.0,43.85,43.85,43.85,2.16,0.51,54.22,0.1931718061674009,43.85,1.0,5.0,98.49,6.0,SUCCESS,
ADI-45461,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45461.pdb,1.0,84.67,84.67,84.67,4.37,1.43,102.47,0.3542677824267782,84.67,1.0,4.0,41.47,5.0,SUCCESS,
ADI-45465,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45465.pdb,1.0,116.42,116.42,116.42,2.62,0.68,124.39,0.5061739130434783,116.42,1.0,5.0,61.98,6.0,SUCCESS,
ADI-45469,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45469.pdb,3.0,274.75,153.36,91.58333333333331,12.88,2.7266666666666666,349.27,1.1691489361702128,274.75,3.0,6.0,121.39,9.0,SUCCESS,
ADI-45472,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45472.pdb,2.0,112.32,59.83,56.16,3.84,1.11,124.28,0.4883478260869565,0.0,0.0,5.0,57.45,7.0,SUCCESS,
ADI-45476,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45476.pdb,2.0,229.39,132.19,114.695,3.23,0.8200000000000001,224.58,0.9973478260869564,229.39,2.0,9.0,139.75,11.0,SUCCESS,
ADI-45479,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45479.pdb,1.0,103.68,103.68,103.68,9.56,4.78,147.5,0.4488311688311688,103.68,1.0,7.0,119.0,8.0,SUCCESS,
ADI-45477,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45477.pdb,2.0,240.41000000000005,153.36,120.205,6.26,1.5950000000000002,234.03,1.0230212765957447,87.05,1.0,3.0,64.37,5.0,SUCCESS,
ADI-45470,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45470.pdb,2.0,110.37,55.94,55.185,3.79,1.065,125.23,0.4798695652173913,54.43,1.0,9.0,180.35,11.0,SUCCESS,
ADI-45480,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45480.pdb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,74.3,7.0,SUCCESS,
ADI-45485,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45485.pdb,3.0,203.25,118.15,67.75,5.4,1.2033333333333331,247.22,0.9073660714285714,184.89,2.0,7.0,97.63,10.0,SUCCESS,
ADI-45488,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45488.pdb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,240.41,8.0,SUCCESS,
ADI-45481,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45481.pdb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,65.01,5.0,SUCCESS,
ADI-45489,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45489.pdb,3.0,127.65,66.74,42.55,3.23,1.0533333333333337,165.11,0.5386075949367088,41.47,1.0,5.0,114.05,8.0,SUCCESS,
ADI-45486,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45486.pdb,3.0,223.77,157.68,74.58999999999999,6.26,1.59,306.53,0.92850622406639,223.77,3.0,4.0,91.8,7.0,SUCCESS,
ADI-45490,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45490.pdb,3.0,268.05,131.54,89.35000000000001,8.42,2.22,295.02,1.1504291845493562,205.41,2.0,8.0,122.24,11.0,SUCCESS,
ADI-45491,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45491.pdb,3.0,105.83,54.86,35.276666666666664,2.55,0.96,129.92000000000002,0.454206008583691,54.86,1.0,5.0,120.31,8.0,SUCCESS,
ADI-45495,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45495.pdb,2.0,163.29,133.7,81.645,3.29,0.765,185.19,0.7161842105263158,163.29,2.0,6.0,101.08,8.0,SUCCESS,
ADI-45493,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45493.pdb,2.0,197.64,138.02,98.82,7.22,1.955,237.06,0.830420168067227,197.64,2.0,5.0,80.99,7.0,SUCCESS,
ADI-45497,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45497.pdb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,62.42,4.0,SUCCESS,
ADI-45498,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45498.pdb,6.0,365.9,100.44,60.98333333333333,5.2,1.375,420.22,1.5504237288135592,242.35,3.0,4.0,54.87,10.0,SUCCESS,
ADI-45499,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45499.pdb,1.0,208.44,208.44,208.44,6.49,2.5,209.65,0.8721338912133891,208.44,1.0,6.0,134.35,7.0,SUCCESS,
ADI-46678,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-46678.pdb,3.0,286.42,135.86,95.47333333333336,9.9,2.273333333333333,354.0,1.2562280701754387,286.42,3.0,3.0,60.48,6.0,SUCCESS,
ADI-46677,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-46677.pdb,1.0,81.86,81.86,81.86,2.68,0.62,92.76,0.3638222222222222,81.86,1.0,7.0,92.02,8.0,SUCCESS,
ADI-46682,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-46682.pdb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,81.65,6.0,SUCCESS,
ADI-46685,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-46685.pdb,2.0,189.43,147.96,94.715,9.93,3.15,236.91,0.82004329004329,189.43,2.0,5.0,81.64,7.0,SUCCESS,
ADI-46684,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-46684.pdb,3.0,443.67,215.14,147.89,6.38,1.393333333333333,408.87,1.864159663865546,228.53,2.0,7.0,134.14,10.0,SUCCESS,
ADI-46689,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-46689.pdb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,160.26999999999998,6.0,SUCCESS,
ADI-46691,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-46691.pdb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,122.05,7.0,SUCCESS,
ADI-46690,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-46690.pdb,1.0,57.46,57.46,57.46,2.68,1.03,61.77,0.26,57.46,1.0,5.0,111.68,6.0,SUCCESS,
ADI-46692,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-46692.pdb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,169.56,7.0,SUCCESS,
ADI-46693,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-46693.pdb,2.0,126.15,88.13,63.075,2.4,0.62,127.79,0.5322784810126583,88.13,1.0,9.0,154.22,11.0,SUCCESS,
ADI-46695,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-46695.pdb,1.0,19.44,19.44,19.44,2.4,0.9,30.6,0.0856387665198238,0.0,0.0,5.0,55.95,6.0,SUCCESS,
ADI-46696,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-46696.pdb,2.0,35.42,21.6,17.71,2.16,0.855,58.74,0.1520171673819742,35.42,2.0,7.0,87.05,9.0,SUCCESS,
ADI-46701,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-46701.pdb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,39.74,4.0,SUCCESS,
ADI-46697,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-46697.pdb,3.0,155.95999999999998,66.1,51.98666666666666,6.15,2.103333333333333,203.44,0.6693562231759655,155.95999999999998,3.0,6.0,82.73,9.0,SUCCESS,
ADI-46706,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-46706.pdb,1.0,65.23,65.23,65.23,3.0,0.87,73.3,0.2848471615720524,65.23,1.0,5.0,53.57,6.0,SUCCESS,
ADI-46704,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-46704.pdb,1.0,27.86,27.86,27.86,2.16,0.73,38.9,0.1175527426160337,0.0,0.0,8.0,140.61,9.0,SUCCESS,
ADI-46705,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-46705.pdb,1.0,25.92,25.92,25.92,2.16,0.69,31.47,0.1122077922077922,25.92,1.0,7.0,120.09,8.0,SUCCESS,
ADI-46707,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-46707.pdb,2.0,291.17,184.9,145.585,7.54,2.79,320.32,1.239021276595745,184.9,1.0,5.0,69.76,7.0,SUCCESS,
ADI-46708,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-46708.pdb,1.0,127.87,127.87,127.87,3.0,0.86,142.91,0.5583842794759826,127.87,1.0,4.0,56.59,5.0,SUCCESS,
ADI-46713,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-46713.pdb,1.0,96.77,96.77,96.77,5.13,1.54,109.7,0.4262995594713656,96.77,1.0,3.0,31.97,4.0,SUCCESS,
ADI-46710,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-46710.pdb,2.0,359.42,327.02,179.70999999999998,4.2,1.0,277.86,1.5492241379310343,359.42,2.0,4.0,90.93,6.0,SUCCESS,
ADI-47054,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-47054.pdb,4.0,136.74,43.85,34.185,3.7,0.985,207.14,0.6023788546255507,80.79,2.0,6.0,99.36,10.0,SUCCESS,
ADI-47055,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-47055.pdb,1.0,32.83,32.83,32.83,2.24,0.54,44.01,0.1439912280701754,32.83,1.0,1.0,12.1,2.0,SUCCESS,
ADI-47056,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-47056.pdb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,152.94,6.0,SUCCESS,
ADI-47058,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-47058.pdb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,120.3,5.0,SUCCESS,
ADI-47057,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-47057.pdb,1.0,30.89,30.89,30.89,2.81,1.1,58.58,0.1325751072961373,0.0,0.0,5.0,76.04,6.0,SUCCESS,
ADI-47059,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-47059.pdb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,189.64,5.0,SUCCESS,
ADI-47061,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-47061.pdb,1.0,42.77,42.77,42.77,2.47,0.74,53.24,0.1859565217391304,42.77,1.0,6.0,87.48,7.0,SUCCESS,
ADI-47060,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-47060.pdb,1.0,29.59,29.59,29.59,2.62,0.96,36.29,0.130929203539823,29.59,1.0,5.0,105.62,6.0,SUCCESS,
ADI-47062,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-47062.pdb,2.0,106.27,79.7,53.135000000000005,5.2,2.23,148.45,0.4681497797356829,106.27,2.0,9.0,146.66,11.0,SUCCESS,
ADI-47064,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-47064.pdb,2.0,196.13,184.03,98.065,4.02,1.22,222.12,0.849047619047619,184.03,1.0,10.0,149.91,12.0,SUCCESS,
ADI-47063,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-47063.pdb,2.0,114.48,62.86,57.24,4.2,1.2,141.78,0.4977391304347826,62.86,1.0,8.0,124.43,10.0,SUCCESS,
ADI-47065,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-47065.pdb,1.0,107.78,107.78,107.78,2.62,0.75,121.84,0.4605982905982906,107.78,1.0,5.0,150.55,6.0,SUCCESS,
ADI-47066,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-47066.pdb,2.0,122.9,89.64,61.45,3.06,0.745,136.59,0.5229787234042553,89.64,1.0,5.0,74.52,7.0,SUCCESS,
ADI-47068,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-47068.pdb,1.0,53.35,53.35,53.35,5.53,2.01,87.95,0.228969957081545,53.35,1.0,8.0,123.97,9.0,SUCCESS,
ADI-47067,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-47067.pdb,1.0,60.05,60.05,60.05,5.53,1.43,88.24,0.255531914893617,60.05,1.0,9.0,247.54,10.0,SUCCESS,
ADI-47069,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-47069.pdb,1.0,96.98,96.98,96.98,6.18,2.2,116.54,0.4198268398268398,96.98,1.0,4.0,42.11,5.0,SUCCESS,
ADI-47070,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-47070.pdb,3.0,344.73,180.14,114.91,7.42,1.96,399.6,1.4545569620253165,344.73,3.0,11.0,142.56,14.0,SUCCESS,
ADI-47071,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-47071.pdb,1.0,122.04,122.04,122.04,4.28,1.43,133.24,0.5329257641921398,122.04,1.0,4.0,57.45,5.0,SUCCESS,
ADI-47072,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-47072.pdb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,41.47,4.0,SUCCESS,
ADI-47073,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-47073.pdb,2.0,81.65,54.65,40.825,3.0,0.735,126.0,0.355,81.65,2.0,9.0,203.46,11.0,SUCCESS,
ADI-47074,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-47074.pdb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,176.25,6.0,SUCCESS,
ADI-47075,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-47075.pdb,2.0,141.05,109.08,70.525,3.98,1.485,155.54,0.6002127659574469,141.05,2.0,5.0,67.17,7.0,SUCCESS,
ADI-47076,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-47076.pdb,1.0,69.34,69.34,69.34,2.81,0.84,62.52,0.2963247863247863,69.34,1.0,8.0,177.13,9.0,SUCCESS,
ADI-47077,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-47077.pdb,1.0,97.85,97.85,97.85,2.68,0.53,123.37,0.4217672413793103,97.85,1.0,4.0,52.06,5.0,SUCCESS,
ADI-47078,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-47078.pdb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,309.08,11.0,SUCCESS,
ADI-47079,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-47079.pdb,1.0,196.78,196.78,196.78,5.63,2.15,196.25,0.8409401709401709,196.78,1.0,10.0,135.63,11.0,SUCCESS,
ADI-47081,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-47081.pdb,2.0,116.43,96.77,58.215,3.39,0.99,128.31,0.5151769911504425,116.43,2.0,4.0,36.5,6.0,SUCCESS,
